Period,Ngày,Ngày tháng,HS code,Prod code,Sale code,Item code,STOCK OUT,Transaction type,QTY,Level subcon,Remark
2026-04,21,2026-04-21 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,497,2,
2026-04,21,2026-04-21 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,,CKAL,SUB IN,500,2,
2026-04,21,2026-04-21 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,4000,2,
2026-04,21,2026-04-21 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,,CKAL,SUB IN,2000,2,
2026-04,21,2026-04-21 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,,CKVB,SUB IN,495,2,
2026-04,21,2026-04-21 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,21,2026-04-21 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,400,2,
2026-04,21,2026-04-21 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,3000,2,
2026-04,21,2026-04-21 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,600,2,
2026-04,21,2026-04-21 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,990,2,
2026-04,21,2026-04-21 00:00:00,EAD63954791,EAD63954791-I,EAD63954791-I,,CKTN,SUB IN,1000,2,
2026-04,21,2026-04-21 00:00:00,EAD65606209,EAD65606209-I,EAD65606209-I,,CKMT,SUB IN,497,2,
2026-04,21,2026-04-21 00:00:00,EAD66010222,EAD66010222-I,EAD66010222-I,,CKTN,SUB IN,1000,2,
2026-04,21,2026-04-21 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,-1,2,
2026-04,21,2026-04-21 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,,CKAL,SUB IN,-1,2,
2026-04,21,2026-04-21 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,-3,2,
2026-04,21,2026-04-21 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,-4,2,
2026-04,21,2026-04-21 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,-11,2,
2026-04,21,2026-04-21 00:00:00,EAD64169033,EAD64169033-I,EAD64169033-I,,CKAL,SUB IN,-1,2,
2026-04,21,2026-04-21 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,-2,2,
